iter	Passed	Remaining
314	1837	3996
315	1839	3982
316	1841	3968
317	1843	3953
318	1844	3937
319	1845	3922
320	1848	3910
321	1850	3895
322	1851	3880
323	1852	3864
324	1853	3850
325	1855	3835
326	1856	3820
327	1857	3804
328	1858	3790
329	1859	3775
330	1860	3761
331	1862	3747
332	1863	3732
333	1865	3718
334	1866	3704
335	1867	3690
336	1868	3675
337	1869	3661
338	1870	3647
339	1871	3633
340	1872	3619
341	1873	3605
342	1877	3596
343	1879	3584
344	1881	3571
345	1884	3562
346	1885	3549
347	1887	3535
348	1888	3522
349	1893	3516
350	1895	3505
351	1897	3493
352	1899	3481
353	1901	3469
354	1903	3457
355	1904	3445
356	1908	3437
357	1909	3424
358	1911	3412
359	1912	3400
360	1914	3388
361	1916	3377
362	1917	3365
363	1921	3357
364	1922	3345
365	1924	3333
366	1925	3321
367	1927	3310
368	1928	3298
369	1931	3288
370	1933	3277
371	1937	3271
372	1939	3260
373	1941	3250
374	1943	3239
375	1945	3227
376	1947	3218
377	1949	3207
378	1952	3199
379	1954	3188
380	1955	3177
381	1957	3166
382	1959	3155
383	1960	3145
384	1964	3138
385	1968	3132
386	1970	3121
387	1971	3110
388	1976	3103
389	1977	3093
390	1979	3082
391	1980	3071
392	1983	3063
393	1985	3053
394	1986	3042
395	1989	3035
396	1991	3025
397	1993	3015
